step,intersection_id,phase,total_queue_length,avg_waiting_time
154,INT_01,NS_GREEN,1,7.1
154,INT_02,EW_GREEN,1,3.857142857142857
155,INT_01,NS_GREEN,1,7.1
155,INT_02,EW_GREEN,1,3.857142857142857
156,INT_01,NS_GREEN,1,7.1
156,INT_02,EW_GREEN,1,3.7058823529411766
157,INT_01,NS_GREEN,1,7.1
157,INT_02,EW_GREEN,1,3.7058823529411766
158,INT_01,NS_GREEN,1,7.1
158,INT_02,EW_GREEN,2,3.7058823529411766
159,INT_01,NS_GREEN,1,6.96078431372549
159,INT_02,EW_GREEN,3,3.6346153846153846
160,INT_01,NS_GREEN,1,6.96078431372549
160,INT_02,NS_GREEN,2,3.7037037037037037
161,INT_01,NS_GREEN,2,6.96078431372549
161,INT_02,NS_GREEN,2,3.7037037037037037
162,INT_01,NS_GREEN,2,6.96078431372549
162,INT_02,NS_GREEN,2,3.7037037037037037
163,INT_01,NS_GREEN,2,6.96078431372549
163,INT_02,NS_GREEN,2,3.7037037037037037
164,INT_01,NS_GREEN,3,6.96078431372549
164,INT_02,NS_GREEN,3,3.7037037037037037
165,INT_01,EW_GREEN,1,7.0754716981132075
165,INT_02,NS_GREEN,3,3.7037037037037037
166,INT_01,EW_GREEN,2,7.0754716981132075
166,INT_02,NS_GREEN,3,3.6363636363636362
167,INT_01,EW_GREEN,2,7.0754716981132075
167,INT_02,NS_GREEN,3,3.5714285714285716
168,INT_01,EW_GREEN,2,7.0754716981132075
168,INT_02,NS_GREEN,4,3.508771929824561
169,INT_01,EW_GREEN,2,7.0754716981132075
169,INT_02,NS_GREEN,4,3.508771929824561
170,INT_01,EW_GREEN,2,6.944444444444445
170,INT_02,EW_GREEN,3,3.6379310344827585
171,INT_01,EW_GREEN,2,6.944444444444445
171,INT_02,EW_GREEN,2,3.7
172,INT_01,EW_GREEN,2,6.944444444444445
172,INT_02,EW_GREEN,2,3.7704918032786887
173,INT_01,EW_GREEN,2,6.944444444444445
173,INT_02,EW_GREEN,1,3.7903225806451615
174,INT_01,EW_GREEN,2,6.818181818181818
174,INT_02,EW_GREEN,0,3.761904761904762
175,INT_01,EW_GREEN,3,6.818181818181818
175,INT_02,EW_GREEN,0,3.761904761904762
